admission_date,disease_type,actual_patient_count,expected_multiplier,temperature,humidity,weather_condition,aqi,is_holiday,holiday_name,days_after_holiday
2023-01-01,Pediatric Illness,3,1.06,26.54,50.07,Clear,88,True,New Year's Day,0
2023-01-01,Respiratory Infection,3,1.03,25.5,40.67,Sunny,73,True,New Year's Day,0
2023-01-01,Malaria,1,1.15,22.97,36.54,Clear,67,True,New Year's Day,0
2023-01-02,Malaria,1,1.08,27.54,60.45,Cloudy,121,False,None,1
2023-01-02,Heart Disease,3,1.16,20.68,41.98,Clear,86,False,None,1
2023-01-03,Respiratory Infection,2,1.16,21.0,76.02,Cloudy,106,False,None,2
2023-01-03,Hypertension,2,1.08,19.47,30.06,Sunny,63,False,None,2
2023-01-04,Respiratory Infection,5,0.92,23.89,59.27,Haze,154,False,None,3
2023-01-05,Diabetes,3,1.14,28.54,51.49,Haze,247,False,None,4
2023-01-05,Hypertension,4,1.06,27.23,42.33,Smoke,347,False,None,4
2023-01-05,Respiratory Infection,4,1.15,25.34,85.46,Rain,47,False,None,4
2023-01-05,Diabetes,3,1.14,22.36,75.1,Cloudy,86,False,None,4
2023-01-06,Diabetes,4,1.09,24.97,44.46,Smoke,323,False,None,5
2023-01-07,Diabetes,3,0.87,25.76,39.16,Clear,51,False,None,6
2023-01-08,Gastroenteritis,2,1.05,23.85,33.95,Sunny,78,False,None,7
2023-01-09,Heart Disease,3,0.82,28.78,28.89,Sunny,81,False,None,0
2023-01-10,Gastroenteritis,2,0.81,31.41,44.42,Sunny,72,False,None,0
2023-01-10,Pediatric Illness,2,1.14,23.91,66.94,Cloudy,140,False,None,0
2023-01-10,Kidney Disease,1,1.02,21.41,67.11,Cloudy,134,False,None,0
2023-01-11,Kidney Disease,1,0.9,22.71,52.25,Clear,98,False,None,0
2023-01-11,Heart Disease,2,1.07,26.77,53.3,Clear,92,False,None,0
2023-01-12,Pediatric Illness,2,1.08,24.29,26.71,Sunny,42,False,None,0
2023-01-12,Kidney Disease,1,1.0,20.78,64.46,Haze,200,False,None,0
2023-01-12,Pediatric Illness,3,1.1,32.11,81.58,Rain,53,False,None,0
2023-01-12,Pediatric Illness,3,0.95,25.33,56.73,Haze,215,False,None,0
2023-01-12,Kidney Disease,1,1.17,23.23,64.52,Cloudy,137,False,None,0
2023-01-13,Malaria,2,1.12,22.55,54.65,Haze,178,True,Lohri,0
2023-01-13,Pediatric Illness,2,1.16,21.76,33.02,Smoke,318,True,Lohri,0
2023-01-14,Heart Disease,2,0.92,25.01,43.95,Clear,91,True,Makar Sankranti,0
2023-01-15,Pediatric Illness,4,0.8,26.33,62.03,Haze,215,False,None,2
2023-01-15,Respiratory Infection,3,0.82,22.69,87.67,Rain,70,False,None,2
2023-01-16,Respiratory Infection,4,1.13,25.55,51.45,Haze,217,False,None,3
